,dataset,architecture,strategy,experiment_category,id,repo_hash,loss,final_accuracy,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,n_experiences,name,network_architecture,prune_proportion,recon_loss_type,reconstruction_loss_weight,retrain_epochs,total_task_epochs,use_classifier_loss,use_packnet,use_reconstruction_loss,use_vae_loss,vae_loss_weight,task_inference_strategy,vanilla_cnn_config,rectangular_mlp_config
10,splitEmbeddedCIFAR100,VAE,taskInference,N,0078,dd88ddf,0.5074913501739502,,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,2048,False,128.0,0.0001,10.0,splitEmbeddedCIFAR100_VAE_taskInference,rectangular_network,0.7,mse,1.0,5.0,20.0,True,True,True,True,0.001,task_reconstruction_loss,,"{'depth': 4, 'width': 512}"
11,splitCIFAR100,VAE,finetuning,N,0029,dd88ddf,0.2149050086736679,0.08910000324249268,64.0,1.0,CIFAR100,VAE,cuda,,True,"[3, 32, 32]",True,64.0,0.0001,10.0,splitCIFAR100_VAE_finetuning,residual_network,,,1.0,20.0,100.0,True,False,True,True,0.001,,{'base_channels': 128},
12,splitEmbeddedCORe50,AE,taskInference,N,0120,dd88ddf,,0.4191496968269348,64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,10.0,splitEmbeddedCORe50_AE_taskInference,rectangular,0.5,mse,1.0,3.0,10.0,True,True,True,False,0.001,task_reconstruction_loss,,
13,splitEmbeddedCIFAR100,AE,finetuning,N,0055,dd88ddf,0.33017653226852417,0.0763000026345253,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_finetuning,rectangular_network,0.7,mse,1.0,5.0,20.0,True,False,True,False,,,,
14,splitCORe50,AE,taskOracle,EP,0004,b7711e62,,0.3669171929359436,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,ml-22_b7711e62_EP_splitCORe50_AE_taskOracle,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,1.0,5.0,True,True,True,False,,task_oracle,,
15,splitEmbeddedCIFAR100,AE,taskInference,N,0076,dd88ddf,,,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,512,False,128.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.7,mse,1.0,5.0,20.0,True,True,True,False,,task_reconstruction_loss,,"{'depth': 4, 'width': 512}"
16,splitCIFAR10,VAE,taskOracle,EP,0139,dd88ddf,,0.9172000288963318,64.0,1.0,CIFAR10,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,5.0,EP_splitCIFAR10_VAE_taskOracle,residual,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,10.0,50.0,True,True,True,True,0.001,task_oracle,,
17,splitEmbeddedCIFAR100,AE,taskInference,N,0079,dd88ddf,0.9676615595817566,0.44670000672340393,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.7,mse,1.0,10.0,50.0,True,True,True,False,,task_reconstruction_loss,,"{'depth': 4, 'width': 512}"
18,splitCORe50,AE,taskInference,PL,0168,55dff8e1,,0.07095526158809662,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,55dff8e1_PL_splitCORe50_AE_taskInference,residual,0.8,bce,1.0,1.0,5.0,True,True,True,False,,task_reconstruction_loss,,
19,splitFMNIST,VAE,taskInference,EP,0013,4f911459,,,64.0,1.0,FMNIST,VAE,cuda,ResNet50,True,"[1, 32, 32]",True,64.0,0.0001,5.0,ml-22_4f911459_EP_splitFMNIST_VAE_taskInference,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",mse,1.0,5.0,20.0,True,True,True,True,1.0,task_reconstruction_loss,,
20,splitEmbeddedCIFAR100,AE,taskInference,N,0081,dd88ddf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,splitFMNIST,AE,taskOracle,N,0031,dd88ddf,0.4827209413051605,0.9937999844551086,64.0,1.0,FMNIST,AE,cuda,,True,"[1, 32, 32]",True,64.0,0.0001,5.0,splitFMNIST_AE_taskOracle,vanilla_cnn,0.5,,1.0,5.0,20.0,True,True,True,False,0.001,task_oracle,{'base_channels': 128},
22,splitEmbeddedCIFAR100,AE,taskInference,N,0070,dd88ddf,0.6421566009521484,0.7059999704360962,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.7,mse,1.0,2.0,10.0,True,True,True,False,,task_reconstruction_loss,,
23,splitCORe50,VAE,taskOracle,EP,0141,dd88ddf,,0.5406475067138672,64.0,1.0,CORe50_NC,VAE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,EP_splitCORe50_VAE_taskOracle,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,10.0,50.0,True,True,True,True,0.001,task_oracle,,
24,splitEmbeddedCIFAR100,AE,taskInference,N,0090,dd88ddf,2.855851650238037,0.04324999824166298,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.5,mse,1.0,5.0,10.0,True,True,True,False,,task_reconstruction_loss,,
25,splitCIFAR10,AE,taskInference,PL,0158,55dff8e1,,0.5939000248908997,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,5.0,55dff8e1_PL_splitCIFAR10_AE_taskInference,residual,0.8,bce,1.0,10.0,50.0,True,True,True,False,,task_reconstruction_loss,,
26,splitCIFAR10,VAE,cumulative,N,0019,dd88ddf,0.47625693678855896,0.8725000023841858,64.0,1.0,CIFAR10,VAE,cuda,,True,"[3, 32, 32]",True,64.0,0.0001,1.0,splitCIFAR10_VAE_cumulative,residual_network,,,1.0,10.0,50.0,True,False,True,True,0.001,,{'base_channels': 128},
27,splitCIFAR10,AE,taskInference,PL,0154,55dff8e1,,0.36719998717308044,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,5.0,55dff8e1_PL_splitCIFAR10_AE_taskInference,residual,0.2,bce,1.0,10.0,50.0,True,True,True,False,,task_reconstruction_loss,,
28,splitEmbeddedCIFAR100,AE,finetuning,N,0067,dd88ddf,,,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_finetuning,rectangular_network,0.7,mse,1.0,2.0,10.0,True,False,True,False,,,,
29,splitFMNIST,VAE,finetuning,N,0027,dd88ddf,0.11536383628845215,0.19949999451637268,64.0,1.0,FMNIST,VAE,cuda,,True,"[1, 32, 32]",True,64.0,0.0001,5.0,splitFMNIST_VAE_finetuning,vanilla_cnn,,,1.0,5.0,20.0,True,False,True,True,0.001,,{'base_channels': 128},
30,splitCORe50,AE,finetuning,N,0026,dd88ddf,0.3073922395706177,0.07453526556491852,64.0,1.0,CORe50_NC,AE,cuda,,True,"[3, 128, 128]",True,526.0,0.0001,10.0,splitCORe50_AE_finetuning,residual_network,,,1.0,1.0,4.0,True,False,True,False,,,{'base_channels': 128},
31,splitEmbeddedCIFAR100,VAE,taskOracle,N,0060,dd88ddf,1.9613066911697388,0.476500004529953,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_VAE_taskOracle,rectangular_network,0.7,mse,1.0,5.0,20.0,True,True,True,True,0.001,task_oracle,,
32,splitCIFAR100,AE,taskOracle,EP,0136,dd88ddf,,0.5566999912261963,64.0,1.0,CIFAR100,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,10.0,EP_splitCIFAR100_AE_taskOracle,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,20.0,100.0,True,True,True,False,,task_oracle,,
33,splitCORe50,AE,taskInference,EP,0145,dd88ddf,,0.08247353881597519,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,EP_splitCORe50_AE_taskInference,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,10.0,50.0,True,True,True,False,0.001,task_reconstruction_loss,,
34,splitFMNIST,AE,taskInference,PL,0149,55dff8e1,,0.7357000112533569,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,5.0,55dff8e1_PL_splitFMNIST_AE_taskInference,vanilla_cnn,0.2,bce,1.0,5.0,20.0,True,True,True,False,,task_reconstruction_loss,,
35,splitCIFAR10,VAE,taskOracle,N,0036,dd88ddf,0.23006802797317505,0.9381999969482422,64.0,1.0,CIFAR10,VAE,cuda,,True,"[3, 32, 32]",True,64.0,0.0001,5.0,splitCIFAR10_VAE_taskOracle,residual_network,0.5,,1.0,10.0,50.0,True,True,True,True,0.001,task_oracle,{'base_channels': 128},
36,splitCIFAR10,VAE,taskInference,N,0044,dd88ddf,0.27405431866645813,0.7294999957084656,64.0,1.0,CIFAR10,VAE,cuda,,True,"[3, 32, 32]",True,64.0,0.0001,5.0,splitCIFAR10_VAE_taskInference,residual_network,0.5,,1.0,10.0,50.0,True,True,True,True,0.001,task_reconstruction_loss,{'base_channels': 128},
37,splitEmbeddedCIFAR100,AE,taskInference,N,0085,dd88ddf,0.777350902557373,,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.7,mse,1.0,20.0,50.0,True,True,True,False,,task_reconstruction_loss,,
38,splitEmbeddedCIFAR100,VAE,taskOracle,N,0052,dd88ddf,2.048435926437378,0.2849999964237213,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_VAE_taskOracle,rectangular_network,0.5,mse,1.0,5.0,20.0,True,True,True,True,0.001,task_oracle,,
39,splitEmbeddedCIFAR100,VAE,taskInference,N,0054,dd88ddf,1.9303606748580933,0.21570000052452087,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_VAE_taskInference,rectangular_network,0.5,mse,1.0,5.0,20.0,True,True,True,True,0.001,task_reconstruction_loss,,
